,명칭,주소,위도,경도,문의 및 안내,주차시설
229,오륙도 스카이워크,부산광역시 남구 오륙도로 137,35.1022800177,129.1229377062,"해파랑길 관광안내소 051-607-6395<br>
시설관리사업소 : 051-607-4937","있음(소형, 대형 가능)"
230,대각사(부산),부산광역시 중구 광복중앙로 21(신창동1가),35.1010840045,129.0306263201,051-245-8781,
231,수리조선소길,부산광역시 영도구 대평로 42(대평동2가),35.0923794753,129.033490197,,
232,당산,부산광역시 동구 망양로478번길 13(초량동),35.1171295005,129.0344088865,051-440-4063,
233,관수옥과 초량왜관 터,부산광역시 중구 용두산길 37-55(광복동2가),35.1005396593,129.0327483723,051-600-4066,
234,이기대 (부산 국가지질공원),부산광역시 남구 용호동,35.1162451995,129.1271619566,051-607-6398,"있음(소형, 대형 가능)"
235,기장향교,부산광역시 기장군 기장읍 차성로417번길 35,35.2578421006,129.2158836772,기장군 문화관광과 051-709-4062,
236,용두산 자갈치 관광특구,부산광역시 중구 자갈치해안로 52(남포동4가),35.0966650543,129.0306014426,"051-600-4000, 4082","백화점과 국제시장, 자갈치시장 등에 81개 주차장 이용 가능"
237,삼진어묵체험·역사관,부산광역시 영도구 태종로99번길 36,35.0929934673,129.0428032596,051-412-5468,주차가능
238,대저생태공원,부산광역시 강서구 공항로 1246,35.2098737478,128.984566247,대저생태공원관리사무소 051-971-6011,주차가능
239,망산도·유주암·유주비각,부산광역시 강서구 송정동,35.0967250919,128.8209252451,055-225-3673,
240,봉래산(부산),부산광역시 영도구 청학동,35.0825699231,129.0584994009,051-253-8253,
241,부산영화체험박물관,부산광역시 중구 대청로126번길 12(동광동3가),35.1017589855,129.0336899238,051-715-4200~1,있음
242,부산차량융합기술단(부산철도차량정비단),부산광역시 부산진구 신천대로 215,35.1605860005,129.0482426068,051-895-3780,있음
243,만들숲,부산광역시 부산진구 중앙대로 지하 818(전포동),35.1639553695,129.0645827594,051-580-9045,있음
244,낙동강문화관,부산광역시 사하구 낙동남로1233번길 1(하단동),35.1082872241,128.9474416939,051-292-1042,"을숙도 자동차극장 주차장(유료), 을숙도 수자원공사 부산권관리단 주차장(무료)"
245,청사포 다릿돌전망대,부산광역시 해운대구 청사포로 167(중동),35.1633523032,129.1954075101,051-749-5720,
246,산복도로,부산광역시 중구(영주동),35.1092330974,129.0309232942,051-749-5700,
247,동래읍성지,부산광역시 동래구 칠산동(칠산동),35.204104175,129.0930236281,051-550-4084,
248,아미르공원,부산광역시 영도구 동삼동,35.076293196,129.0774423702,051-419-4531,
249,구포만세거리,부산광역시 북구 구포동(구포동),35.2092657979,129.0016758842,,
250,부산시민공원,부산광역시 부산진구 시민공원로 73(범전동),35.1654939246,129.0558806966,051-850-6000,유료 주차장
251,백양산 웰빙숲,부산광역시 사상구 모라동 산110-1,35.1843909879,129.0114340487,051-309-2052,
252,KT&G 상상마당 부산,부산광역시 부산진구 서면로 39,35.1543174256,129.0573308761,051-809-5555,
253,송도용궁구름다리,부산광역시 서구 암남동 620-53암남공원 안,35.0619576685,129.0220170229,051-240-4087,
254,해운대리버크루즈,부산광역시 해운대구 수영강변대로 85(우동),35.1679171964,129.1273244146,051-711-1789,
255,성지곡수원지,부산광역시 부산진구 새싹로 295(초읍동),35.1853692278,129.0424174355,051-860-7848,어린이대공원 주차장(유료)
256,가덕도 연대봉,부산광역시 강서구 천성동,35.0317518247,128.8216713782,강서구청 문화체육과 051-970-4062,
257,부산 투어지,부산광역시 해운대구 APEC로 30벡스코 제2전시장 1층 108호 투어지,35.1658203523,129.135054356,051-740-4080,
258,용소웰빙공원,부산광역시 기장군 기장읍 서부리,35.2462820674,129.2042100127,051-709-5111,
259,물빛색스튜디오,부산광역시 강서구 체육공원로6번길 139-28,35.2093931581,128.9797833434,"051-343-1179, 0507-1393-1179",
260,대저수문 생태공원,부산 강서구 대저1동 279-9,35.2300966255,128.9924094542,051-970-4682,있음
261,비석문화마을,부산광역시 서구 아미로 49(아미동2가),35.0998532521,129.0124473789,051-240-6541,
262,닥밭골 벽화마을,부산광역시 서구 망양로170번길 17-4(동대신동2가),35.1143268372,129.0235904594,051-240-6421,
263,해동성취사,부산광역시 기장군 일광면 일광로 429,35.2812735257,129.2544185643,051-727-0859,있음
264,해광사,부산광역시 기장군 기장읍 기장해안로 340,35.2055759171,129.22576204,051-721-3167,
265,학리항(학리방파제),부산 기장군 일광면 학리 251-13,35.2599730111,129.2477530679,051-709-4000,있음
266,칠암항,부산광역시 기장군 일광면 문오성길 510,35.2986216905,129.2602897934,051-709-4000,있음
267,젖병등대,부산 기장군 기장읍 연화리 297-5,35.2138277212,129.2230814903,051-405-1201,있음
268,옥정사,부산광역시 기장군 일광면 달음길 101,35.3112806782,129.2225232855,051-727-0150,주차가능
269,이동항,부산광역시 기장군 일광면 이천리 170-8,35.2717466345,129.2446918963,051-709-4000,주차가능
270,묘관음사,부산광역시 기장군 장안읍 해맞이로 253-38,35.3228663067,129.2662747102,051-727-2035,있음
271,석탑사,부산광역시 기장군 정관읍 용수공단2길 70-14,35.3229198954,129.1611033114,051-727-2599,있음
272,감만시민공원,부산광역시 남구 감만동 626-1,35.1097087416,129.0687505471,051-607-4000,가능 (약 300대)
273,누리바라기전망대,부산광역시 서구 남부민동 50-40(남부민동),35.0907988546,129.0203302731,051-240-4061,있음(소형 약 30여대)
274,만덕고개 누리길 전망데크,부산광역시 동래구 온천동 산153-8,35.214280152,129.0573042353,051-550-4061,없음
275,울림공원,부산 강서구 명지동 3392,35.1016598139,128.9270380945,051-970-4522,있음(약 50여 대)
276,신호공원,부산 강서구 신호동 315-1,35.0819137723,128.8707796382,051-970-4522,있음(약 40여 대)
277,온천천시민공원,부산광역시 연제구 연산동 2058-6(연산동),35.1925249557,129.0951265407,051-554-8411 /  051-665-4000,없음
278,보람공원,부산광역시 강서구 녹산산단262로14번길 20(송정동),35.0881459047,128.8432429784,051-970-4531~5,있음(약 25대)
279,명지동근린공원,부산광역시 강서구 명지오션시티10로 95(명지동),35.0870333005,128.9066569316,051-970-4531~5,있음(맞은편 공영주차장 약 350여 대)
280,밀락더마켓,부산광역시 수영구 민락수변로17번길 56,35.1542603874,129.1270664784,051-752-5671,
281,금용암(부산),부산광역시 연제구 성지곡로 111(거제동),35.1916075512,129.049663856,051-501-6300,주차 가능
282,묘심사(부산),부산광역시 동구 망양로 671(수정동),35.126761849,129.0395054026,051-467-2390,주차 가능
283,성암사(부산),부산광역시 남구 진남로210번길 58-15(문현동),35.1456799238,129.0800957995,051-635-3744,있음
284,안적사(부산),부산광역시 기장군 기장읍 내리길 461-16,35.2142766822,129.169888882,051-543-9408,주차 가능
285,약수암(부산),부산광역시 사상구 백양대로804번길 42-57 약수암,35.1782275148,128.9965271813,051-303-7586,
286,연등사(부산),부산광역시 동구 좌천동로 17-3(좌천동),35.1330863176,129.0491127274,051-632-0546,주차 가능
287,운수사(부산),부산광역시 사상구 모라로219번길 173(모라동),35.183582782,129.0134338969,051-313-3300,주차 가능
288,월명사(부산),부산광역시 기장군 일광면 참샘길 124,35.269243617,129.2167499529,051-721-0123,주차 가능
289,조방해수탕,부산광역시 부산진구 자유평화로37번길 15-19(범천동),35.1418522515,129.0625724285,051-645-0005,있음
290,혜원정사,부산광역시 연제구 고분로68번길 47(연산동),35.184017494,129.0907132695,051-866-7771,있음
291,중앙해수랜드,부산광역시 남구 용호로 64,35.125627178,129.1106575793,051-622-8899,주차 가능
292,스파랜드 센텀시티,부산광역시 해운대구 센텀남대로 35(우동),35.1686477032,129.1290909078,1668-2850,신세계백화점 주차장 이용
293,다대포 꿈의 낙조분수,부산광역시 사하구 몰운대1길 14,35.0464195263,128.9680332493,051-220-5891,주차가능(공용주차장)
294,내원정사(부산),부산광역시 서구 엄광산로40번길 121-22(서대신동3가),35.1265474825,129.0122827767,051-242-0691,
