명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,수용인원,이용시간,쉬는날,이용요금,할인정보,관람소요시간,주차시설,주차요금,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보,개장기간,입장료,체험가능연령, 유산구분,개장일,체험안내,이용시기
송도반도 (부산 국가지질공원),49274,,,부산광역시 서구 암남동,35.0659655069,129.019511576,"8~7천만 년 전인 중생대 백악기말 다대포-송도 지역의 동쪽에 위치한 동래단층과 서쪽의 양산단층이 움직이면서 두 단층 사이의 땅이 벌어지고 움푹 꺼져 그릇 모양의 다대포분지가 만들어졌다. 이 분지에는 큰 호수가 만들어지면서 두꺼운 퇴적층들이 쌓이게 되었고, 이 퇴적층을 다대포층이라 한다. 다대포층은 구성하고 있는 암석의 특징(붉은색층의 존재유무, 화산성 물질의 함량)과 퇴적환경의 차이에 따라 다시 하부다대포층과 상부다대포층으로 나뉜다.송도반도에서는 한국의 지질노두 150선에 선정된 다대포층이 해안가를 따라 하부부터 상부까지 연속으로 나타나며, 우리나라 제1호 해수욕장인 송도해수욕장 경관과 함께 공룡알둥지화석, 석회질고토양, 암맥, 단층 등의 지질기록을 만끽할 수 있다.<br>",부산국가지질공원 051-888-3636,,,,,,,,,,없음,없음,,,,,,,,,
장산 (부산 국가지질공원),48066,,,부산광역시 해운대구 장산로 331-18,35.1811053657,129.168189943,"부산의 도심에서 남해 바다를 내려다보며 우뚝 솟아 있는 장산은 그 범위가 넓어 다양한 등산 코스가 만들어져 있다. 해운대 마린시티와 광안대교를 조망하고 있다. 유문암질 화산활동으로 분출된 화산재, 용암, 화쇄류로 이루어진 산으로 다양한 화산암들과 장산폭포, 돌서렁 등의 웅장한 지형이 넘쳐나며 뛰어난 해안도심 경관을 즐길 수 있는 명소이다.<br>장산은 백악기말 칼데라의 잔존구조인 화산함몰체로 한반도 남동부의 화산활동사를 연구하는데 높은 학술적 가치를 지니고 있다. 특히 장산 자락에는 화산암 암벽에서 떨어진 거력들이 산의 경사면을 따라 길게 뻗어있는 암괴류(block stream)를 관찰할 수 있다. 총 아홉 줄기로 나뉘어져 있으며, 각각의 암괴류를 연결한 “재송너덜길”을 통해 남해, 동해 바다의 경치를 즐길 수 있는 명소이다.",051-851-7851,,,상시,,,,,,,없음,없음,,,,,,,,,
마린시티,48119,,,부산광역시 해운대구 우동,35.1560327184,129.1436566548,"밤이 되면 화려하게 불을 밝히는 마린시티는 세계적으로 유명한 홍콩이나 상하이도 부럽지 않은 야경을 가지고 있는 곳이다. 마린시티의 야경을 보고 있으면, 외국의 도시에 있는 듯한 착각을 불러일으킨다. 거리에는 외국 음식점은 물론이고 고풍스러운 카페와 주점이 있어 많은 관광객들이 찾고 있다.<br>",해운대 관광안내소 051-749-5700,,,,,,,,,,없음,없음,,,,,,,,,
북맛골,46325,,,부산광역시 금정구 장전동,35.2369919623,129.0825597462,북맛골은 부산대 북쪽에 위치한 맛집 골목 이라는 뜻으로 부산대 밥집의 살아 있는 역사를 이어가고 있다.부산 금정구에 위치한 장전동은 한자로 ‘긴 화살’ 이라는 뜻으로 아주 먼 옛날에 화살 살대를 만드는 재료가 많이 생산되었다고 붙여진 이름이다.장전동은 뒤로는 금정산이 감싸고 있고 앞으로는 온천천이 흘러 예로부터 사람이 살기 좋은 동네로 꾸준히 다양한 연령층의 사람들이 살아오고 있는 곳이다.하지만 최근 몇 년 사이에 대규모 공사가 이뤄지면서 고주택은 많이 허물어지고 저렴한 원룸촌이 형성되었다.새로 지어진 원룸 건물 사이사이에 고주택과 20여 개의 오래된 식당들이 여전히 남아있는데 식당들이 쭉 이어져있는 100m 정도 되는 거리가 바로 ‘북맛골 ’이다.<br>,051-519-4423,,,,,,,,,,없음,없음,,"관광코스안내:회동수원지투어<br />
상현마을-오륜대전방대-땅뫼산향토숲길-땅뫼산수변데크-동대교<br />
금정산투어(1코스 금정산성길 18.845km)<br />
동문-3망루-4망루-북문-고당봉-금샘-서문-1망루터-남문-2망루-동문<br />
금정산투어(2코스 범어사길 7.4km)<br />
범어사-북문-고당봉-북문-4망루-3망루-동문
",,,,,,,
금정산성마을 먹거리촌,46237,,,부산광역시 금정구 금성동,35.2513870387,129.0538229642,"부산의 명소인 금정구 금성동에 자리잡은 산성마을은 공기좋고, 물 맑은 수려한 자연 환경 속에 부산의 향토음식인 ‘흑염소 불고기’와 전국적으로 이름난 부산지역 특산물인 민속주 1호인 ‘산성막걸리’가 있어 이곳을 찾는 손님들의 발길이 끊이지 않고 있다. 금정산성 흑염소 불고기는 타 지역과 달리 양념에 고기를 버무려 숯불 위 석쇠에 바로 굽는 직화구이 방식으로 이는 흑염소불고기 특유의 고소한 맛을 유지시키는 비결 중의 하나다. 현재, 금정산성마을 먹거리 촌에는 흑염소불고기, 오리불고기, 오리백숙 등을 취급하는 음식점이 80여개소가 있으며, 등산객, 직장회식, 계모임, 가족외식 등 여러 지역에서 다양한 고객층이 즐겨 찾고 있다. 특히 이 지역 음식점들은 족구장 등을 갖추고 있어 소규모 체육대회 등 행사를 개최하기에 용이하다.<br>",054-518-0014,,,,,,,,,,없음,없음,,,,,,,,,
부산 치유의 숲,46049,,,부산광역시 기장군 철마면 철마천로 101,35.2690086937,129.1298103057,"영남권 최초로 부산 기장군 철마면에 '치유의 숲'이 조성되었으며, 음이온과 피톤치드가 풍부한 자연환경에서 다양한 치유프로그램을 통해 정서 함양과 휴식을 취할 수 있는 곳이다. 부산 치유의 숲은 153ha 규모로 입구 방문자 센터에서 시작되는 중앙 산책로를 왕복하는 시간은 40분정도 소요된다. 다양한 대상에 맞춤한 프로그램을 운영하며, 중앙 산책로를 따라 조성된 숲속 도서관, 마음 나눔터, 숲속 치유마당, 숲속 명상터 소나무풍욕장, 태교숲터에서 이루어진다.",방문자센터 051-976-2831~3,,,,,,,,,,없음,없음,,,,,,,,"매월 20일 전후 프로그램 공지, 부산광역시 통합예약 신청<br />
문의 전화 051-976-2831~3",3월~12월
안데르센 동화마을,46028,,,부산광역시 기장군 장안읍 장안로 211,35.3601199691,129.2399148578,"부산 기장군 장안읍에 있는 도예 관광 힐링촌에 들어선 안데르센 동화마을은 어린이뿐 아니라 어른들도 아우르는 힐링 체험 공간으로 수많은 동화를 집필해 전 세계 아동들에게 사랑받는 안데르센의 생애와 그의 작품 세계를 한눈에 알 수 있다. 18세기 바로크 양식으로 재현한 안데르센 정원, 아이들과 함께하는 다양한 놀이시설이 있다.<br>",051-709-4000,,,,,,,,주차가능,,없음,없음,,"입 장 료:무료
",,,,,,,
회동수원지,46329,,,부산광역시 금정구 개좌로 147,35.2252550204,129.116648768,"회동수원지는 1930년대 말, 가뭄으로 인한 물 부족을 해소하기 위해 조성한 인공저수지다. 경상남도 양산시 원효산 남쪽 계곡에서 발원한 수영강이 철마천과 만나는 부산시 금정구 오륜동과 회동동에 걸쳐 있다. 1964년 상수원 보호구역으로 지정됐던 회동수원지 일대는 45년 만인 지난 2010년 일반에 개방됐다. 부산시 금정구청의 ‘인문학과 함께하는 땅뫼산 소풍여행’은 회동수원지를 따라 조성된 땅뫼산 황토숲길에서 진행된다. 생태의 보고로 불리는 땅뫼산 황토숲길은 상현마을에서 동천교를 잇는 부산갈맷길 8-1구간 가운데 풍광이 가장 아름다운 곳이다. 1km 남짓 이어지는 길은 오르내림 없이 평탄해 누구나 편하게 걸을 수 있다.<br>",051-519-4081,,,,,,,,,,없음,없음,,,,,,,,,
호천마을,47373,,,부산광역시 부산진구 엄광로 491(범천동),35.1442823259,129.0512427918,"2017년 KBS에서 방영된 드라마‘쌈, 마이웨이’의 촬영지인 호천마을 은 전망좋은 산복도로로 <쌈 마이웨이> 외에도 <라이프 온 마스>, <제3의 매력>, <그냥 사랑하는 사이> 등 드라마 및 영화 촬영지로 각광 받고 있는 곳이다.<br>",,,,,,,,,,,없음,없음,,,,,,,,,
죽성성당(드림세트장),,,,부산광역시 기장군 기장읍 죽성리 134-7,35.2412223365,129.2478869088,부산 기장군 죽성리에 위치한 죽성성당은 2009년 SBS 드라마 ‘드림’을 촬영하기 위해 지어진 드라마 세트장이다. 오래 전 방영된 드라마는 잊혀졌지만 잘 만들어진 이 공간만큼은 기장을 찾는 여행객의 필수 코스라고 할 정도로 명소가 되었다. 성당 내부는 갤러리로 운영되고 있어서 운 좋게 전시일정과 겹친다면 뜻하지 않은 볼거리를 경험할 수 있다.작은 어촌마을에 위치한 지리적 특성 덕분인지 남다른 분위기를 간직하고 있다. 중세시대의 어느 바닷가 마을을 그대로 옮겨 놓은 것 같은 풍경은 마치 한 폭의 그림 같다. 바위 위로 부서지는 하얀 포말은 성당의 붉은 지붕과 대비되어 이곳을 찾는 이들의 시선을 한눈에 사로잡는다. 죽성성당에서 가장 많은 이들이 줄을 서서 기다리는 곳은 마치 액자의 프레임을 그대로 옮겨 놓은 듯한 포토존이다. 액자 속으로 들어간 푸른 바다와 하늘이 더없이 아름다운 배경을 만들어 준다.<br>,051-709-4082,,,,,,,,,,없음,없음,,,,,,,연중무휴,,
부산시민공원,47197,,,부산광역시 부산진구 시민공원로 73(범전동),35.1654939246,129.0558806966,"부산시민공원은 기억(Memory), 문화(Culture), 즐거움(Pleasure), 자연(Nature), 참여(Participation) 5개 활동주제로 조성되었습니다. 부산의 심장부를 대표하는 새로운 공공 경관과 치유와 침적 그리고 새로운 가능성의 축적의 장으로 세계에서 유례를 찾아볼 수 없는 새로운 형태의 최첨단 공원으로 공원조성 면적은 473,911㎡ 이며, 그중 공원 중앙지역에 자리하고 있는 하야리아 잔디광장 면적은 약 40,000㎡(축구장 6배)입니다. 공원 내에는 97종 85만여 그루(교목 은행나무등 46종 9,937 그루, 관목 43종 844,314 그루)의 나무가 심어졌으며 공원역사관, 공원안내소, 부전천(2.5㎞), 전포천(2.5㎞), 분수(4개소), 광장(6개소), 어린이놀이시설(9개소) 등과 주차장(902면),카페(3개소), 편의점(2개소), 화장실(22개소)등의 편의시설이 만들어졌습니다. 부산시민공원은 부산 시민과 우리나라 국민들은 물론 외국인들도 즐겨 찾는 세계적인 명품 공원으로 발돋움하기 위해 꾸준히 노력하고 있습니다.",051-850-6000,,,05:00~24:00,연중무휴,,,,유료 주차장,,없음,없음,,,,,,,,,
부산엑스더스카이,48099,,,부산광역시 해운대구 달맞이길 30엘시티 랜드마크타워 98~100F,35.1613825711,129.168043276,"‘부산엑스더스카이(BUSAN X the SKY)’는 국내 두 번째 높이(411.6m)인 ‘해운대 엘시티 랜드마크타워’에 위치하고 있으며, 씨사이드뷰(Sea Side View)와 씨티뷰를 함께 조망할 수 있는 국내 최대 규모 전망대 입니다. 전망대 각 층마다 특화된 해운대 해변과 도시 야경, 광안대교, 부산항대교, 이기대, 달맞이 고개, 동백섬 등 부산의 명소를 조망할 수 있는 ‘파노라믹 오션뷰’를 자랑한다. 편안한 휴식 공간을 제공하는 ‘엑스 더 라운지’, 하늘 위의 바다를 배경으로 특별한 기억을 기록하는 ‘엑스 더 포토’, 추억을 오래도록 간직할 수 있는 기념품샵 ‘엑스 더 기프트’ 등 부산엑스더스카이만의 특화된 서비스를 제공한다.",051-731-0098~9,,,월~일 : 10:00 ~ 21:00(입장마감 20:30),연중무휴,,,,소형/대형 주차 가능,,없음,불가,,"입 장 료:대인 : 27,000원<br />
소인(경로): 24,000원
",,,,,,,
역사의 디오라마,48905,,,부산광역시 중구 영주로 93,35.1146852898,129.0322896932,"부산 해양의 풍경과 시간을 조망할 수 있는 전망대이다. 피란수도, 해양도시로 대표되는 부산의 가장 부산다운 모습을 그대로 간직하고 있다. 부산의 대표적인 관광지인 서면과 남포동 두 지역을 잇는 86번 버스를 타면 지나가는 곳이다.
정면으로 보이는 광안대교 바다 전망과 더불어 옆으로는 산복도로 위를 저마다의 색으로 빼곡하게 채우고 있는 건물들, 그 사이 굽은 길을 능숙하게 오가는 버스들은 오직 부산에서만 볼 수 있는 전망이다. 자연경관, 근대경관, 문화경관, 미래경관까지 해안가를 따라서 보이는 4가지 주제의 풍경들을 속 시원하게 바라볼 수 있다.",부산종합관광안내소 051-253-8253,,,상시개방,연중무휴,,,,주차가능,,없음,가능,,"입 장 료:무료
",,,전 연령,,,,
해운대 블루라인파크,48116,,,부산광역시 해운대구 청사포로 116(중동),35.161260796,129.1913940274,"해운대 블루라인파크는 해운대 미포~청사포~송정에 이르는 4.8km 구간의 동해남부선 옛 철도시설을 친환경적으로 재개발하여, 수려한 해안절경을 따라 해운대 해변열차와 해운대 스카이캡슐을 운행하는 국제 관광도시 부산, 해운대 관광특구의 핵심 관광 시설이다. 해운대 해변열차는 아름다운 동부산의 수려한 해안절경을 감상하면서 해운대 미포에서 청사포를 거쳐 송정까지 왕복으로 운행하는 교통수단을 겸비한 관광열차며, 해운대 스카이캡슐은 신비로운 해안절경을 7~10m 공중 레일에서 관람하면서 해운대 미포에서 청사포까지 2Km구간을 자동으로 운행하는 낭만적인 4인승 캡슐이다.<br>",051-701-5548,,,"동절기(11,12,1,2월)<br />
- 마지막 해변열차(미포출발) : 18:30<br />
- 마지막 해변열차(송정출발) : 18:00<br />
- 마지막 캡슐 : ~ 18:00<br />
※ 미포 출발 캡슐은 17:30이후 탑승 시, 미포행 해변열차 이용불가<br />
<br />
비수기(3,4,10월)<br />
- 마지막 해변열차(미포출발) : 19:00<br />
- 마지막 해변열차(송정출발) : 18:30<br />
- 마지막 캡슐 : ~ 18:30<br />
※ 미포 출발 캡슐은 18:00이후 탑승 시, 미포행 해변열차 이용불가<br />
<br />
성수기(5,6,9월)<br />
- 마지막 해변열차(미포출발) : 20:00<br />
- 마지막 해변열차(송정출발) : 19:30<br />
- 마지막 캡슐 : ~ 19:30<br />
※ 미포 출발 캡슐은 19:00이후 탑승 시, 미포행 해변열차 이용불가<br />
<br />
극성수기(7,8월)<br />
- 마지막 해변열차(미포출발) : 21:00<br />
- 마지막 해변열차(송정출발) : 20:30<br />
- 마지막 캡슐 : ~ 20:30<br />
※ 미포 출발 캡슐은 20:00이후 탑승 시, 미포행 해변열차 이용불가",연중무휴,,,,가능(미포정거장/문탠로드/청사포/송정정거장),,없음,가능,,"시설이용료:* 해운대 해변열차<br />
1회이용 7,000원 / 2회이용 10,000원 / 자유이용 13,000원<br />
* 스카이캡슐<br />
1-2인승 : 편도 30,000원 / 왕복 55,000원<br />
3인승 : 편도 39,000원 / 왕복 69,000원<br />
4인승: 편도 44,000원 / 왕복 77,000원
",,,,,,,
승학산,49317,,,부산광역시 사하구 당리동 산 45-1(당리동),35.1140927207,128.9795998493,"부산의 가을을 담은 승학산 억새평원<br />가을이 되면 하얀 억새군락이 멋진 장관을 연출하는 승학산은 가을 트래킹의 필수 코스 중 하나다. 능선을 따라 드넓게 펼쳐진 승학산의 초원에는 햇빛을 받아 황금빛으로 하늘거리는 억새풀이 가득하다. 가을의 정취를 한층 더해주는 승학산의 억새를 찾아 즐거운 마음으로 트레킹을 할 수 있다. 부산의 가을을 담은 최고의 장소 승학산 억새평원, 가만히 바라보는 것만으로도 마음에 위안이 되는 곳이다. 눈에 가득 담아온 한 컷의 평온함이 오래도록 가슴에 남는 곳이다.",051-220-4082,,,상시,,,,,,,없음,없음,,"입 장 료:없음
",,,,,,,
땅뫼산,46255,,,부산광역시 금정구 오륜대로 260-1(오륜동),35.2472747896,129.1174425369,"땅뫼산의 숲속 오솔길과 나무데크 산책로를 한참 걸어가면 호수 습지에서 자생하는 신기한 나무들이 시선을 사로잡고, 수려한 자연경관이 계속 이어지는 산책로는 땅뫼산생태숲으로 여행자를 인도한다. 땅뫼산숲길은 맨발로 걷기 좋은 황토길로 조성되어 있다. 빽빽한 편백림을 가로지르며 맨발에 닿는 황토의 차가운 감촉을 즐길 수 있다. <br>",051-519-4081,,,상시,,,,,,,없음,없음,,"입 장 료:무료
",,,,,,,
영도 청학배수지 전망대,49086,,,부산광역시 영도구 와치로 36(청학동),35.0883915225,129.0600713277,영도 청학배수지 전망대에서 내려다보는 부산항대교는 시시각각 종류가 다른 빛을 쏟아낸다. 부둣가의 불빛과 그 뒤로 배경이 되어주는 도심의 불빛들에 입이 절로 벌려진다. 영도에서 보는 야경은 광안리나 황령산에서 보는 야경과는 다른 느낌의 부산을 느낄 수 있는 곳이다.,051-419-4000,,,상시,,,,,,,없음,없음,,"입 장 료:무료
",,,,,,,
우암동 도시 숲,48468,,,부산광역시 남구 우암동 127-142,35.1274929334,129.0726358346,"우암동 도시숲에서 내려다보는 전경은 동항성당을 배경으로 브라질 리우데자네이루 예수상 처럼 보이는 게 아주 이국적이다. 또한 도시숲에서 보는 야경은 영도 바다와 북항대교가 한 눈에 보이며, 보름달 설치물을 배경으로 야경사진을 찍으면 아름다운 실루엣 사진을 찍을 수 있고 달과 함께 찍힌 부산이 아주 매력적인 곳이다.",부산종합관광안내소 051-253-8253,,,00:00~24:00,연중개방,,,,,,없음,없음,,"입 장 료:무료
",,,,,,,
백양산 웰빙숲,46933,,,부산광역시 사상구 모라동 산110-1,35.1843909879,129.0114340487,"부산 북구 백양산에 위치한 백양산 웰빙숲은 운수천 주변 환경을 개선하여 시민들의 휴식공간으로 재탄생된 곳으로, 자연과 사람이 공존하는 곳이다. 편백림 태교 명상숲, 숲속 테마 놀이터, 데크 쉼터, 계곡 전망대, 운수천 체험숲길, 가족이야기 숲 등 다양한 시설은 지친 몸과 마음을 휴식하기에 좋다. 피톤치드를 느끼며 데크길을 따라 산책하기에도 좋으며, 숲속 테마 놀이터에서 아이들과 함께 시간을 보내기에도 좋은 휴식 공간이다.",051-309-2052,,,,,,,,,,없음,없음,,,,,,,,,
흰여울문화마을,49081,,,부산광역시 영도구 흰여울길 379,35.0772758472,129.0463700445,"피난민들의 애잔한 삶이 시작된 곳이자 현재는 마을주민과 함께하는 문화마을공동체 흰여울문화마을이 자리한 곳이다. 부산의 대표적인 원도심 흰여울길은 봉래산 기슭에서 굽이쳐 내리는 물줄기가 마치 흰 눈이 내리는 모습과 비슷하다 하여 이름 지어졌다. 2011년 12월, 낡은 가옥을 리모델링하면서 현재는 영도의 생활을 느낄 수 있는 독창적인 문화예술마을로 거듭났다.<br>",051-419-4067,,,안내소 운영시간 : 09:00 ~  17:00,,,,,절영해안산책로 입구 공영 주차장 (유료),,없음,없음,,,,,,,,,
기장해녀촌(연화리횟촌),46082,,,부산광역시 기장군 기장읍 연화1길 184,35.2184217439,129.2281142588,연화리 횟촌은 대변항에서 차량으로 5분이내에 위치하며 연화 포구를 중심으로 50여개의 횟집이 성업중에 있으며 죽도의 절경을 감상 할 수 있다. 특히 활어회는 고기에 따라 각각 모양을 다르게 뜨는데 보통 붉은살 생선은 흰살 생선보다 두껍게 뜬다. 그리고 흰살 생선은 얇게 떠서 찬물에 담갔다가 먹어야 제맛으로 살이 수축되어 씹는 맛이 먹어본 사람이 아니면 알수 없는 맛. 넉넉한 주방장의 인심과 입담은 더욱 회맛을 살리고 기억나게 한다.<br>,기장군 문화관광과 051-409-4066,,,,,,,,,,없음,없음,,,,,,,,,
광안리 SUP Zone,48304,,,부산광역시 수영구 남천동,35.1477386656,129.114673291,"'광안리 SUP Zone' 은 광안리해변을 해양스포츠의 메카로 만들고, 해양스포츠 이용객들을 위한 곳이다. 광안리해변은 연중 파도가 잔잔하여 SUP 타기에 적합하다. 수영구청은 광안리해변에 광안리 SUP Zone을 2020년부터 조성하여 운영하고 있으며, 광안리 SUP Zone은 광안리해변 내(광안리해양레포츠센터~광안리지웰에스테이트 맞은편 백사장) 400m 구간으로 비치 바, 비치베드, 윈드배너, SUP포토존 등으로 구성되어 있다. 갈대파라솔과 비치배드는 7~8월에는 인근 수상레저샵을 통해 수상레저기구를 대여하시는 분에 한하여 무료로 이용할 수 있다.(7~8월을 제외하고는 누구나 자유롭게 이용가능)<br/>또한 체험형 미션 게임 플랫폼인 리얼월드 앱의 야외 방탈출 게임 <바다 너머의 세상>을 통해 광안리 해변 곳곳에 숨겨진 퀴즈를 풀어가며 색다른 산책을 즐길 수 있다.<br>",051-610-4951,,300명,"수상레저기구 이용시간 : 일몰 전 30분 ~ 일몰 후 30분까지<br />
SUP Zone 이용시간 : 24시간",,,,,"없음(수영구청 주차장 이용, 광안리해양레포츠센터 이용객은 레포츠센터 주차장 이용)",,없음,가능,,"입 장 료:입장료 없음 / SUP 이용시 3시간 30,000원

이용가능시설:갈대파라솔, 비치베드

",,,,,,SUP(Stand Up Paddle Board),
이중섭거리,36243,,,부산광역시 동구 범일1동 1422-82,35.1403355632,129.0521955944,"이중섭은 1916년 평안남도 평원에서 태어났으며, 1937년 일본으로 유학을 갔다온 이듬해 원산사범학교에서 미술교사가 된다.

한국전쟁발발 후 1·4후퇴때 이중섭은 아내와 두아들을 데리고 부산으로 내려온다. 우암동 피란민 수용소에서 살며 부두 노동을 하던 그는 1951년 가족과 함께 제주도로 건너갔다. 그해 12월 다시 부산으로 돌아와 범일동 귀환 동포마을 변전소근처에 판잣집을 짓고 생활했다.

극심한 생활고 때문에 이중섭과 마사코는 이별을 택할 수밖에 없었다. 1952년 마사코는 영양실조에 걸린 아들을 데리고 친정이있는 일본으로 돌아간다. 이중섭은 가족을 떠나보낸 후 홀로 부산에 남아 낮에는 부두 노동자로 일하고 밤에는 술로 외로움을 달랬다.

그러나 그림에 대한 열정만은 사그라지지 않았다. 그는 광복동 일원의 밀다원, 금강다방, 그리고 부둣가의 술집들을 전전하며 부산으로 피란온 예술가들과 친밀한 교분을 나눴다. 비록 담뱃갑 은박지에 그림을 그리며 끼니를 해결하는 가난한 화가 신세였지만 이 곳에서〈범일동풍경〉이라는 명작을 탄생시킨다.

범일동 553번길주변에 조성된 이중섭거리에는 그의 고단했던 삶과 치열했던 예술 세계가 파노라마처럼 펼쳐져 있다. 희망 100계단 끝 이중섭전망대에 이르면 당시 이중섭이 아내 마사코에게 보낸 절절한 편지를 읽을 수 있다.",051-440-4815,,,,,,,,,,없음,없음,,,,,,,,,
가덕도,,,,부산광역시 강서구 천성동 308-2,35.022963833,128.8169442487,"가덕도는 부산 최대의 섬으로 자동차로 여행하기 좋은 곳이다. 최고봉인 연대산을 비롯해 수많은 산들과 해안가를 따라 이어진 힐링 둘레길, 일제강점기의 역사 유적지 등 볼거리가 많다. 특히 아름다운 일출, 일몰과 사계절 월척이 가능한 낚시 포인트는 최고의 자랑거리이다. 

✔일출&일몰&낚시&차박 캠핑 포인트: 
  - 대항새바지(일출):화려하지 않고 조용한 일출을 감상할 수 있다.(시설: 공용주차장)
  - 새바지등대(일출):환상적인 일출을 보면서 낚시를 즐길 수 있다. 
  - 연대봉(일출/일몰):데크 계단길을 따라 30분 정도 쉽게 오를 수 있는 곳으로 일출은 물론 말이 필요 없을 정도로 환상적인 일몰이 압권이다. 
     - 다대포 몰운대를 비롯해 거제 해금강까지 한눈에 굽어 볼 수 있다.
  - 가덕도등대(일출):아름다운 해돋이를 감상하면서 코로나로 인한 피곤함과 스트레스가 날아가는 느낌을 받을 수 있다. 
  - 천성항(일몰/낚시):가거대교와 어우러진 일몰이 매력적인 포토 스폿이다. 특히 방파제가 넓어 감성돔의 손맛을 느낄 수 있는 인기 낚시터다. 
  - 대항전망대(일몰):거제도 바다 뷰와 일몰의 어우러짐이 환상적이다. 
  - 대항방파제(낚시):루어낚시로 볼락을, 릴 찌낚시와 원투낚시로 수면 위를 팔딱거리는 학꽁치와 참돔 등을 원 없이 잡는 알짜 터이다. 
  - 새바지방파제(낚시):순발력 좋은 벵에돔을 비롯해 볼락, 고등어, 학꽁치, 숭어 등 어종이 풍부하다.  
  - 외양포항(일몰/차박 캠핑):프라이빗 한 일몰을 감상하며 차박 캠핑을 즐길 수 있다.(시설: 주차장, 화장실)
  - 동선새바지(일출/일몰/차박 캠핑):일출, 일몰 명소로 손꼽히는 곳이며 차박 캠핑하기도 좋다.(시설: 화장실)",051-971-9710 (가덕도 등대),,,상시이용,연중무휴,,,,있음 (대항공영주차장 기준 소형 6-70대 정도 주차 가능),,없음,없음,,"입 장 료:무료
",,,,,,,
월전포구(월전방파제),46078,,,부산광역시 기장군 기장읍 월전해안길 31,35.2383253882,129.2451761137,"월전포구는 아담한 항구로 장어구이가 유명하다. 때문에 포구 주변으로 작은 횟집들과 장어구이집들이 올망졸망 몰려 있다. 월전 방파제에서는 낚시를 즐기는 낚시꾼들이 새벽부터 자리를 잡는 모습이 흔하다. 월전방파제 끝에 세워진 월전등대는 2009년 9월부터 첫 점등을 했다고 하는데 월전-마음에 뜬달이라는 의미를 지닌다. 다른 등대와는 달리 1, 2층이 전망대로 구성되어 둘러보기 좋다. 인근에는 월전 꽃동산, 월전활어판매장이 위치해 있으며, 월전 꽃동산에서는 해변을 따라 걸을 수 있도록 산책로가 마련되어 있다.",051-709-4085,,,,,,,,,,없음,없음,,"이용가능시설:월전등대 - 1,2층이 전망대로 구성되어 있음
",,,,,,,
죽성항(황학대),,,,부산광역시 기장군 기장읍 죽성리 30-33,35.2426471573,129.246848071,죽성항은 부산의 다른 항구에 비해 아주 소박하고 작은 편에 속한다. 항구 주변으로는 집들이 흩어져 있으며 담벽에 고기잡이 그물이 걸려 있는데 70~80년대 어촌 마을 분위기를 연출한다. 항구 곳곳에는 멸치를 말리는 모습이 흔하고 조그마한 방파제에는 작은 선박이 정박해 있다. 죽성항 해안에는 동화 같은 느낌의 죽성성당이 보인다. 실제 성당은 아니고 드라마 드림세트장이다. 죽성항의 명물로 언제나 관광객의 발길이 끊이지 않는다.,051-709-4085,,,,,,,,있음,,없음,없음,,,,,,,,,
영주하늘눈전망대,48905,,,부산광역시 중구 영주동 91-7(영주동),35.1146102693,129.0307259427,"영주하늘눈전망대 전망대는 ‘산복도로 걷기 좋은 산책로 조성사업’의 일환으로 만들어 졌으며, 부산 시민들 사이에 야경 명당으로 꼽히는 곳이다. 근처에는 중앙공원과 이어지는 산책로가 있어 밤에도 가족 혹은 반려견과 함께 산책을 하기에도 좋은 곳이다. 영주하늘눈전망대에 도착하면 독특한 조형물 하나가 있는데, 바다와 산, 도시가 어우러진 부산의 특징을 조각타일로 표현한 조형물, ‘부산을 내려다보는 하늘눈' 을 볼 수 있으며, 도시를 밝히는 불빛이 별빛처럼 내려앉은 밤 풍경은 더욱더 운치가 좋다. <br>",051-600-4000,,,,,,,,,,없음,없음,,,,,,,,,
천마산하늘전망대,49259,,,부산광역시 서구 해돋이로183번길 17-4(초장동),35.093648481,129.0173415667,"천마산하늘전망대는 천마산로의 '사진 맛집'으로 불리는 곳으로 부산 원도심과 부산항 일대를 굽어볼 수 있다. 전망대에 올라가면 부부가 손을 잡고 같은 곳을 바라보고 있는 조형물을 볼 수 있는데, 그 이유는 1,400만 관객을 동원한 영화 ‘국제시장’의 무대로도 쓰였던 곳이기 때문이다. 2019년 ‘천마산 산복마을 흔적길 조성 사업’이 마무리되면서 천마산로는 더 편리하게 정비되었다. 산복도로의 옛 정취는 간직하되 말끔한 모습을 더한 것이다. 현재 천마산로 일대에는 조명과 보행 데크 등이 설치되어 있어 안전한 밤 산책이 가능하다.<br>",051-240-4000,,,,,,,,,,없음,없음,,,,,,,,,
